,count,mean,std,min,25%,50%,75%,max
consumption_kwh,8760.0,40.40598767123288,7.904320773859637,30.0,33.483000000000004,39.897000000000006,46.16325,77.032
temperature_c,8760.0,8.985530821917807,10.174321645864001,-14.01,0.0075,9.02,17.92,32.4
insolation_kw_m2,8760.0,0.11622865296803653,0.2032054254067255,0.0,0.0,0.0,0.12,1.048
hdd_18,8760.0,10.020663242009132,8.851744117928401,0.0,0.08,8.98,17.9925,32.01
cdd_22,8760.0,0.29162328767123286,1.0436520181436797,0.0,0.0,0.0,0.0,10.4
baseline_kwh,8760.0,40.05898584474886,5.03628785765047,31.2,34.92075,41.727,44.086749999999995,47.749
